,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,21.45,57,4,3.0,US,1644090484
1,Elizabeth City,36.2946,-76.2511,43.0,48,75,1.99,US,1644090176
2,Cayenne,4.9333,-52.3333,84.24,81,75,5.99,GF,1644090636
3,Cockburn Town,21.4612,-71.1419,80.56,54,40,11.5,TC,1644090115
4,Port Alfred,-33.5906,26.891,70.48,83,93,25.52,ZA,1644090085
5,Mugur-Aksy,50.35,90.5,-9.85,58,0,6.04,RU,1644090637
6,Nikolskoye,59.7035,30.7861,24.71,95,100,9.04,RU,1644090532
7,Waddan,29.1614,16.139,58.28,22,0,4.47,LY,1644090638
8,Adrar,20.5022,-10.0711,71.1,7,0,9.08,MR,1644090638
9,Portobelo,9.55,-79.65,91.06,66,6,11.59,PA,1644090638
10,Avarua,-21.2078,-159.775,80.65,78,40,13.8,CK,1644090286
11,Vostok,46.4856,135.8833,-11.38,99,100,3.29,RU,1644089969
12,Longyearbyen,78.2186,15.6401,10.24,56,20,21.85,SJ,1644090556
13,Rehau,50.25,12.0333,37.09,86,100,14.97,DE,1644090639
14,Atuona,-9.8,-139.0333,78.96,76,6,22.3,PF,1644090574
15,Airai,-8.9266,125.4092,60.78,91,100,1.86,TL,1644090601
16,Katsuura,35.1333,140.3,37.42,55,10,11.86,JP,1644090179
17,Oranjemund,-28.55,16.4333,67.55,76,89,7.16,NA,1644090190
18,Gayeri,12.6497,0.4931,75.74,12,2,9.06,BF,1644090640
19,Thompson,55.7435,-97.8558,-12.84,70,75,2.3,CA,1644090400
20,Punta Arenas,-53.15,-70.9167,59.11,77,100,21.85,CL,1644090557
21,Gat,31.61,34.7642,53.4,100,74,7.61,IL,1644090166
22,Thinadhoo,0.5333,72.9333,82.27,72,70,11.63,MV,1644090142
23,Mayo,38.8876,-76.5119,35.24,45,0,18.01,US,1644090641
24,Pattensen,52.2645,9.7644,44.35,71,100,22.95,DE,1644090642
25,Mataura,-46.1927,168.8643,51.48,94,100,1.05,NZ,1644090280
26,Mount Gambier,-37.8333,140.7667,58.91,82,75,6.91,AU,1644090178
27,Rikitea,-23.1203,-134.9692,78.93,72,99,11.18,PF,1644090565
28,Gamba,-2.65,10.0,76.73,85,13,4.72,GA,1644090107
29,Taltal,-25.4,-70.4833,71.55,63,24,4.65,CL,1644090620
30,Busselton,-33.65,115.3333,65.05,87,12,5.91,AU,1644090564
31,Lebedinyy,58.5167,125.5167,-12.68,100,100,3.47,RU,1644090643
32,Puerto Ayora,-0.7393,-90.3518,82.36,85,85,8.01,EC,1644090388
33,Provideniya,64.3833,-173.3,-6.21,86,2,10.54,RU,1644090136
34,Severo-Kurilsk,50.6789,156.125,28.09,92,100,4.45,RU,1644090085
35,Hami,42.8,93.45,26.35,29,100,11.52,CN,1644090270
36,Manta,-0.95,-80.7333,78.58,83,75,9.22,EC,1644090420
37,Bandarbeyla,9.4942,50.8122,74.88,70,100,10.27,SO,1644090106
38,Grand Gaube,-20.0064,57.6608,80.38,76,100,8.01,MU,1644090644
39,Verkhoyansk,67.5447,133.385,-44.55,100,83,1.41,RU,1644090240
40,Pisco,-13.7,-76.2167,68.05,88,75,9.22,PE,1644090587
41,Ushuaia,-54.8,-68.3,64.02,55,75,24.16,AR,1644090560
42,Fortuna,40.5982,-124.1573,57.92,67,0,0.0,US,1644090130
43,Butaritari,3.0707,172.7902,82.56,71,49,19.24,KI,1644090573
44,Vaini,-21.2,-175.2,77.16,94,100,8.05,TO,1644090290
45,Sola,-13.8833,167.55,82.78,78,100,18.9,VU,1644090645
46,Lengshuitan,26.4111,111.5956,42.6,88,100,3.69,CN,1644090646
47,Puerto Rondon,6.2805,-71.1,95.34,29,36,6.38,CO,1644090646
48,Chunoyar,57.4467,97.3217,20.23,93,100,9.66,RU,1644090646
49,Mahebourg,-20.4081,57.7,80.26,89,75,21.85,MU,1644090605
50,Manitowoc,44.0667,-87.8001,19.4,65,100,3.0,US,1644090116
51,Port Elizabeth,-33.918,25.5701,70.11,83,20,16.11,ZA,1644090647
52,Bluff,-46.6,168.3333,51.8,71,72,13.67,NZ,1644090562
53,Yenagoa,4.9247,6.2642,80.96,71,2,7.14,NG,1644090215
54,Purpe,64.4803,76.6897,-15.47,100,85,5.1,RU,1644090648
55,Hamilton,39.1834,-84.5333,27.05,70,0,1.01,US,1644090202
